"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901990","regulation of mitotic cell cycle phase transition","7/47","368/18986",0.0190217391304348,7.68397317298797,6.45012011442044,3.13198229877012e-05,0.00269976874153984,0.00196930255417405,"FHL1/PKMYT1/UBE2C/CDC25C/NUF2/SPC25/CDK1",7
"GO:0090307","mitotic spindle assembly","4/47","76/18986",0.0526315789473684,21.2609182530795,8.81649293237713,3.71098882533681e-05,0.00299894284447531,0.00218753025493538,"NEK2/KIF4A/TPX2/UHRF1",4
"GO:0140694","non-membrane-bounded organelle assembly","7/47","425/18986",0.0164705882352941,6.65341677096371,5.87192487013199,7.78053636772053e-05,0.00563997717725803,0.0041139899465325,"MYOM1/NEK2/KIF4A/TPX2/UHRF1/GSN/CFL2",7
"GO:1901879","regulation of protein depolymerization","4/47","92/18986",0.0434782608695652,17.5633672525439,7.93334420053263,7.85147634885109e-05,0.00563997717725803,0.0041139899465325,"TPX2/GSN/CFL2/SPTBN1",4
"GO:0051310","metaphase chromosome alignment","4/47","103/18986",0.0388349514563107,15.6876678372237,7.44580513103483,0.000121789602614446,0.00828810295686728,0.00604562237908828,"NEK2/NUF2/SPC25/CDK1",4
"GO:0010389","regulation of G2/M transition of mitotic cell cycle","4/47","107/18986",0.0373831775700935,15.1012129648041,7.28676183319508,0.000141131328528172,0.00858190828322766,0.00625993391278706,"FHL1/PKMYT1/CDC25C/CDK1",4
"GO:0033045","regulation of sister chromatid segregation","4/47","108/18986",0.037037037037037,14.9613869188337,7.24833333909094,0.000146294784505054,0.00858190828322766,0.00625993391278706,"UBE2C/NUF2/SPC25/CDK1",4
"GO:1901991","negative regulation of mitotic cell cycle phase transition","5/47","205/18986",0.024390243902439,9.85262065386611,6.34841247534029,0.000148298887110378,0.00858190828322766,0.00625993391278706,"FHL1/PKMYT1/NUF2/SPC25/CDK1",5
"GO:0010948","negative regulation of cell cycle process","6/47","329/18986",0.0182370820668693,7.3670051089698,5.80347274560232,0.000152655754458033,0.00858190828322766,0.00625993391278706,"NEK2/FHL1/PKMYT1/NUF2/SPC25/CDK1",6
"GO:1901987","regulation of cell cycle phase transition","7/47","479/18986",0.0146137787056367,5.9033447341536,5.41461871101513,0.0001634974488176,0.00860541032329308,0.00627707709502227,"FHL1/PKMYT1/UBE2C/CDC25C/NUF2/SPC25/CDK1",7
